,authorYear,study,designType,multiBase,multiProbe,cluster,case,phase,A,B,M,session,outcome,complexityMeasure,singleType,mixedType,generalization,level_AB,level_BM,time_A,time_B,time_M,trend_AB,trend_BM
1704,Scheuermann et al. (2009),17,multiProbe,0,1,1,1,B,0,1,0,6,90,singleType,1,0,0,1,0,5,2,-3,2,0
1705,Scheuermann et al. (2009),17,multiProbe,0,1,1,1,B,0,1,0,7,100,singleType,1,0,0,1,0,6,3,-2,3,0
1706,Scheuermann et al. (2009),17,multiProbe,0,1,1,1,M,0,0,1,9,43,singleType,1,0,0,1,1,8,5,0,5,0
1707,Scheuermann et al. (2009),17,multiProbe,0,1,1,1,M,0,0,1,10,83,singleType,1,0,0,1,1,9,6,1,6,1
1708,Scheuermann et al. (2009),17,multiProbe,0,1,1,2,A,1,0,0,1,27,singleType,1,0,0,0,0,0,-4,-8,0,0
1709,Scheuermann et al. (2009),17,multiProbe,0,1,1,2,A,1,0,0,2,30,singleType,1,0,0,0,0,1,-3,-7,0,0
1710,Scheuermann et al. (2009),17,multiProbe,0,1,1,2,A,1,0,0,3,30,singleType,1,0,0,0,0,2,-2,-6,0,0
1711,Scheuermann et al. (2009),17,multiProbe,0,1,1,2,A,1,0,0,4,25,singleType,1,0,0,0,0,3,-1,-5,0,0
1712,Scheuermann et al. (2009),17,multiProbe,0,1,1,2,B,0,1,0,5,65,singleType,1,0,0,1,0,4,0,-4,0,0
1713,Scheuermann et al. (2009),17,multiProbe,0,1,1,2,B,0,1,0,6,88,singleType,1,0,0,1,0,5,1,-3,1,0
1714,Scheuermann et al. (2009),17,multiProbe,0,1,1,2,B,0,1,0,7,100,singleType,1,0,0,1,0,6,2,-2,2,0
1715,Scheuermann et al. (2009),17,multiProbe,0,1,1,2,M,0,0,1,9,66,singleType,1,0,0,1,1,8,4,0,4,0
1716,Scheuermann et al. (2009),17,multiProbe,0,1,1,2,M,0,0,1,10,98,singleType,1,0,0,1,1,9,5,1,5,1
1717,Scheuermann et al. (2009),17,multiProbe,0,1,1,3,A,1,0,0,1,18,singleType,1,0,0,0,0,0,-5,-8,0,0
1718,Scheuermann et al. (2009),17,multiProbe,0,1,1,3,A,1,0,0,2,30,singleType,1,0,0,0,0,1,-4,-7,0,0
1719,Scheuermann et al. (2009),17,multiProbe,0,1,1,3,A,1,0,0,3,35,singleType,1,0,0,0,0,2,-3,-6,0,0
1720,Scheuermann et al. (2009),17,multiProbe,0,1,1,3,A,1,0,0,4,29,singleType,1,0,0,0,0,3,-2,-5,0,0
1721,Scheuermann et al. (2009),17,multiProbe,0,1,1,3,A,1,0,0,5,30,singleType,1,0,0,0,0,4,-1,-4,0,0
1722,Scheuermann et al. (2009),17,multiProbe,0,1,1,3,B,0,1,0,6,63,singleType,1,0,0,1,0,5,0,-3,0,0
1723,Scheuermann et al. (2009),17,multiProbe,0,1,1,3,B,0,1,0,7,83,singleType,1,0,0,1,0,6,1,-2,1,0
1724,Scheuermann et al. (2009),17,multiProbe,0,1,1,3,B,0,1,0,8,100,singleType,1,0,0,1,0,7,2,-1,2,0
1725,Scheuermann et al. (2009),17,multiProbe,0,1,1,3,M,0,0,1,9,75,singleType,1,0,0,1,1,8,3,0,3,0
1726,Scheuermann et al. (2009),17,multiProbe,0,1,1,3,M,0,0,1,10,81,singleType,1,0,0,1,1,9,4,1,4,1
1727,Scheuermann et al. (2009),17,multiProbe,0,1,1,4,A,1,0,0,1,23,singleType,1,0,0,0,0,0,-6,-8,0,0
1728,Scheuermann et al. (2009),17,multiProbe,0,1,1,4,A,1,0,0,2,13,singleType,1,0,0,0,0,1,-5,-7,0,0
1729,Scheuermann et al. (2009),17,multiProbe,0,1,1,4,A,1,0,0,3,10,singleType,1,0,0,0,0,2,-4,-6,0,0
1730,Scheuermann et al. (2009),17,multiProbe,0,1,1,4,A,1,0,0,4,25,singleType,1,0,0,0,0,3,-3,-5,0,0
1731,Scheuermann et al. (2009),17,multiProbe,0,1,1,4,A,1,0,0,5,25,singleType,1,0,0,0,0,4,-2,-4,0,0
1732,Scheuermann et al. (2009),17,multiProbe,0,1,1,4,A,1,0,0,6,21,singleType,1,0,0,0,0,5,-1,-3,0,0
1733,Scheuermann et al. (2009),17,multiProbe,0,1,1,4,B,0,1,0,7,75,singleType,1,0,0,1,0,6,0,-2,0,0
1734,Scheuermann et al. (2009),17,multiProbe,0,1,1,4,B,0,1,0,8,100,singleType,1,0,0,1,0,7,1,-1,1,0
1735,Scheuermann et al. (2009),17,multiProbe,0,1,1,4,M,0,0,1,9,60,singleType,1,0,0,1,1,8,2,0,2,0
1736,Scheuermann et al. (2009),17,multiProbe,0,1,1,4,M,0,0,1,10,90,singleType,1,0,0,1,1,9,3,1,3,1
1737,Scheuermann et al. (2009),17,multiProbe,0,1,1,5,A,1,0,0,1,4,singleType,1,0,0,0,0,0,-3,-8,0,0
1738,Scheuermann et al. (2009),17,multiProbe,0,1,1,5,A,1,0,0,2,18,singleType,1,0,0,0,0,1,-2,-7,0,0
1739,Scheuermann et al. (2009),17,multiProbe,0,1,1,5,A,1,0,0,3,20,singleType,1,0,0,0,0,2,-1,-6,0,0
1740,Scheuermann et al. (2009),17,multiProbe,0,1,1,5,B,0,1,0,4,70,singleType,1,0,0,1,0,3,0,-5,0,0
1741,Scheuermann et al. (2009),17,multiProbe,0,1,1,5,B,0,1,0,5,83,singleType,1,0,0,1,0,4,1,-4,1,0
1742,Scheuermann et al. (2009),17,multiProbe,0,1,1,5,B,0,1,0,6,90,singleType,1,0,0,1,0,5,2,-3,2,0
1743,Scheuermann et al. (2009),17,multiProbe,0,1,1,5,B,0,1,0,7,100,singleType,1,0,0,1,0,6,3,-2,3,0
1744,Scheuermann et al. (2009),17,multiProbe,0,1,1,5,M,0,0,1,9,45,singleType,1,0,0,1,1,8,5,0,5,0
1745,Scheuermann et al. (2009),17,multiProbe,0,1,1,5,M,0,0,1,10,53,singleType,1,0,0,1,1,9,6,1,6,1
1746,Scheuermann et al. (2009),17,multiProbe,0,1,1,6,A,1,0,0,1,28,singleType,1,0,0,0,0,0,-4,-8,0,0
1747,Scheuermann et al. (2009),17,multiProbe,0,1,1,6,A,1,0,0,2,30,singleType,1,0,0,0,0,1,-3,-7,0,0
1748,Scheuermann et al. (2009),17,multiProbe,0,1,1,6,A,1,0,0,3,40,singleType,1,0,0,0,0,2,-2,-6,0,0
1749,Scheuermann et al. (2009),17,multiProbe,0,1,1,6,A,1,0,0,4,40,singleType,1,0,0,0,0,3,-1,-5,0,0
1750,Scheuermann et al. (2009),17,multiProbe,0,1,1,6,B,0,1,0,5,65,singleType,1,0,0,1,0,4,0,-4,0,0
1751,Scheuermann et al. (2009),17,multiProbe,0,1,1,6,B,0,1,0,6,100,singleType,1,0,0,1,0,5,1,-3,1,0
1752,Scheuermann et al. (2009),17,multiProbe,0,1,1,6,B,0,1,0,7,100,singleType,1,0,0,1,0,6,2,-2,2,0
1753,Scheuermann et al. (2009),17,multiProbe,0,1,1,6,M,0,0,1,9,73,singleType,1,0,0,1,1,8,4,0,4,0
1754,Scheuermann et al. (2009),17,multiProbe,0,1,1,6,M,0,0,1,10,83,singleType,1,0,0,1,1,9,5,1,5,1
1755,Scheuermann et al. (2009),17,multiProbe,0,1,1,7,A,1,0,0,1,26,singleType,1,0,0,0,0,0,-5,-8,0,0
1756,Scheuermann et al. (2009),17,multiProbe,0,1,1,7,A,1,0,0,2,17,singleType,1,0,0,0,0,1,-4,-7,0,0
1757,Scheuermann et al. (2009),17,multiProbe,0,1,1,7,A,1,0,0,3,2,singleType,1,0,0,0,0,2,-3,-6,0,0
1758,Scheuermann et al. (2009),17,multiProbe,0,1,1,7,A,1,0,0,4,18,singleType,1,0,0,0,0,3,-2,-5,0,0
1759,Scheuermann et al. (2009),17,multiProbe,0,1,1,7,A,1,0,0,5,10,singleType,1,0,0,0,0,4,-1,-4,0,0
1760,Scheuermann et al. (2009),17,multiProbe,0,1,1,7,B,0,1,0,6,37,singleType,1,0,0,1,0,5,0,-3,0,0
1761,Scheuermann et al. (2009),17,multiProbe,0,1,1,7,B,0,1,0,7,55,singleType,1,0,0,1,0,6,1,-2,1,0
1762,Scheuermann et al. (2009),17,multiProbe,0,1,1,7,B,0,1,0,8,88,singleType,1,0,0,1,0,7,2,-1,2,0
1763,Scheuermann et al. (2009),17,multiProbe,0,1,1,7,M,0,0,1,9,35,singleType,1,0,0,1,1,8,3,0,3,0
1764,Scheuermann et al. (2009),17,multiProbe,0,1,1,7,M,0,0,1,10,63,singleType,1,0,0,1,1,9,4,1,4,1
1765,Scheuermann et al. (2009),17,multiProbe,0,1,1,8,A,1,0,0,1,17,singleType,1,0,0,0,0,0,-6,-8,0,0
1766,Scheuermann et al. (2009),17,multiProbe,0,1,1,8,A,1,0,0,2,11,singleType,1,0,0,0,0,1,-5,-7,0,0
1767,Scheuermann et al. (2009),17,multiProbe,0,1,1,8,A,1,0,0,3,12,singleType,1,0,0,0,0,2,-4,-6,0,0
1768,Scheuermann et al. (2009),17,multiProbe,0,1,1,8,A,1,0,0,4,10,singleType,1,0,0,0,0,3,-3,-5,0,0
1769,Scheuermann et al. (2009),17,multiProbe,0,1,1,8,A,1,0,0,5,27,singleType,1,0,0,0,0,4,-2,-4,0,0
1770,Scheuermann et al. (2009),17,multiProbe,0,1,1,8,A,1,0,0,6,23,singleType,1,0,0,0,0,5,-1,-3,0,0
1771,Scheuermann et al. (2009),17,multiProbe,0,1,1,8,B,0,1,0,7,50,singleType,1,0,0,1,0,6,0,-2,0,0
1772,Scheuermann et al. (2009),17,multiProbe,0,1,1,8,B,0,1,0,8,92,singleType,1,0,0,1,0,7,1,-1,1,0
1773,Scheuermann et al. (2009),17,multiProbe,0,1,1,8,M,0,0,1,9,33,singleType,1,0,0,1,1,8,2,0,2,0
1774,Scheuermann et al. (2009),17,multiProbe,0,1,1,8,M,0,0,1,10,51,singleType,1,0,0,1,1,9,3,1,3,1
1775,Scheuermann et al. (2009),17,multiProbe,0,1,1,9,A,1,0,0,1,6,singleType,1,0,0,0,0,0,-3,-8,0,0
1776,Scheuermann et al. (2009),17,multiProbe,0,1,1,9,A,1,0,0,2,10,singleType,1,0,0,0,0,1,-2,-7,0,0
1777,Scheuermann et al. (2009),17,multiProbe,0,1,1,9,A,1,0,0,3,8,singleType,1,0,0,0,0,2,-1,-6,0,0
1778,Scheuermann et al. (2009),17,multiProbe,0,1,1,9,B,0,1,0,4,23,singleType,1,0,0,1,0,3,0,-5,0,0
1779,Scheuermann et al. (2009),17,multiProbe,0,1,1,9,B,0,1,0,5,65,singleType,1,0,0,1,0,4,1,-4,1,0
1780,Scheuermann et al. (2009),17,multiProbe,0,1,1,9,B,0,1,0,6,80,singleType,1,0,0,1,0,5,2,-3,2,0
1781,Scheuermann et al. (2009),17,multiProbe,0,1,1,9,B,0,1,0,7,85,singleType,1,0,0,1,0,6,3,-2,3,0
1782,Scheuermann et al. (2009),17,multiProbe,0,1,1,9,M,0,0,1,9,60,singleType,1,0,0,1,1,8,5,0,5,0
1783,Scheuermann et al. (2009),17,multiProbe,0,1,1,9,M,0,0,1,10,68,singleType,1,0,0,1,1,9,6,1,6,1
1784,Scheuermann et al. (2009),17,multiProbe,0,1,1,10,A,1,0,0,1,6,singleType,1,0,0,0,0,0,-5,-8,0,0
1785,Scheuermann et al. (2009),17,multiProbe,0,1,1,10,A,1,0,0,2,0,singleType,1,0,0,0,0,1,-4,-7,0,0
1786,Scheuermann et al. (2009),17,multiProbe,0,1,1,10,A,1,0,0,3,10,singleType,1,0,0,0,0,2,-3,-6,0,0
1787,Scheuermann et al. (2009),17,multiProbe,0,1,1,10,A,1,0,0,4,10,singleType,1,0,0,0,0,3,-2,-5,0,0
1788,Scheuermann et al. (2009),17,multiProbe,0,1,1,10,A,1,0,0,5,0,singleType,1,0,0,0,0,4,-1,-4,0,0
1789,Scheuermann et al. (2009),17,multiProbe,0,1,1,10,B,0,1,0,6,20,singleType,1,0,0,1,0,5,0,-3,0,0
1790,Scheuermann et al. (2009),17,multiProbe,0,1,1,10,B,0,1,0,7,70,singleType,1,0,0,1,0,6,1,-2,1,0
1791,Scheuermann et al. (2009),17,multiProbe,0,1,1,10,B,0,1,0,8,77,singleType,1,0,0,1,0,7,2,-1,2,0
1792,Scheuermann et al. (2009),17,multiProbe,0,1,1,10,M,0,0,1,9,60,singleType,1,0,0,1,1,8,3,0,3,0
1793,Scheuermann et al. (2009),17,multiProbe,0,1,1,10,M,0,0,1,10,55,singleType,1,0,0,1,1,9,4,1,4,1
1794,Scheuermann et al. (2009),17,multiProbe,0,1,1,11,A,1,0,0,1,19,singleType,1,0,0,0,0,0,-6,-8,0,0
1795,Scheuermann et al. (2009),17,multiProbe,0,1,1,11,A,1,0,0,2,20,singleType,1,0,0,0,0,1,-5,-7,0,0
1796,Scheuermann et al. (2009),17,multiProbe,0,1,1,11,A,1,0,0,3,10,singleType,1,0,0,0,0,2,-4,-6,0,0
1797,Scheuermann et al. (2009),17,multiProbe,0,1,1,11,A,1,0,0,4,15,singleType,1,0,0,0,0,3,-3,-5,0,0
1798,Scheuermann et al. (2009),17,multiProbe,0,1,1,11,A,1,0,0,5,15,singleType,1,0,0,0,0,4,-2,-4,0,0
1799,Scheuermann et al. (2009),17,multiProbe,0,1,1,11,A,1,0,0,6,16,singleType,1,0,0,0,0,5,-1,-3,0,0
1800,Scheuermann et al. (2009),17,multiProbe,0,1,1,11,B,0,1,0,7,60,singleType,1,0,0,1,0,6,0,-2,0,0
1801,Scheuermann et al. (2009),17,multiProbe,0,1,1,11,B,0,1,0,8,98,singleType,1,0,0,1,0,7,1,-1,1,0
1802,Scheuermann et al. (2009),17,multiProbe,0,1,1,11,M,0,0,1,9,60,singleType,1,0,0,1,1,8,2,0,2,0
1803,Scheuermann et al. (2009),17,multiProbe,0,1,1,11,M,0,0,1,10,83,singleType,1,0,0,1,1,9,3,1,3,1
1804,Scheuermann et al. (2009),17,multiProbe,0,1,1,12,A,1,0,0,1,30,singleType,1,0,0,0,0,0,-4,-8,0,0
1805,Scheuermann et al. (2009),17,multiProbe,0,1,1,12,A,1,0,0,2,40,singleType,1,0,0,0,0,1,-3,-7,0,0
1806,Scheuermann et al. (2009),17,multiProbe,0,1,1,12,A,1,0,0,3,33,singleType,1,0,0,0,0,2,-2,-6,0,0
1807,Scheuermann et al. (2009),17,multiProbe,0,1,1,12,A,1,0,0,4,43,singleType,1,0,0,0,0,3,-1,-5,0,0
1808,Scheuermann et al. (2009),17,multiProbe,0,1,1,12,B,0,1,0,5,60,singleType,1,0,0,1,0,4,0,-4,0,0
1809,Scheuermann et al. (2009),17,multiProbe,0,1,1,12,B,0,1,0,6,87,singleType,1,0,0,1,0,5,1,-3,1,0
1810,Scheuermann et al. (2009),17,multiProbe,0,1,1,12,B,0,1,0,7,100,singleType,1,0,0,1,0,6,2,-2,2,0
1811,Scheuermann et al. (2009),17,multiProbe,0,1,1,12,M,0,0,1,9,90,singleType,1,0,0,1,1,8,4,0,4,0
1812,Scheuermann et al. (2009),17,multiProbe,0,1,1,12,M,0,0,1,10,90,singleType,1,0,0,1,1,9,5,1,5,1
1813,Scheuermann et al. (2009),17,multiProbe,0,1,1,13,A,1,0,0,1,18,singleType,1,0,0,0,0,0,-5,-8,0,0
1814,Scheuermann et al. (2009),17,multiProbe,0,1,1,13,A,1,0,0,2,9,singleType,1,0,0,0,0,1,-4,-7,0,0
1815,Scheuermann et al. (2009),17,multiProbe,0,1,1,13,A,1,0,0,3,10,singleType,1,0,0,0,0,2,-3,-6,0,0
1816,Scheuermann et al. (2009),17,multiProbe,0,1,1,13,A,1,0,0,4,13,singleType,1,0,0,0,0,3,-2,-5,0,0
1817,Scheuermann et al. (2009),17,multiProbe,0,1,1,13,A,1,0,0,5,2,singleType,1,0,0,0,0,4,-1,-4,0,0
1818,Scheuermann et al. (2009),17,multiProbe,0,1,1,13,B,0,1,0,6,63,singleType,1,0,0,1,0,5,0,-3,0,0
1819,Scheuermann et al. (2009),17,multiProbe,0,1,1,13,B,0,1,0,7,80,singleType,1,0,0,1,0,6,1,-2,1,0
1820,Scheuermann et al. (2009),17,multiProbe,0,1,1,13,B,0,1,0,8,89,singleType,1,0,0,1,0,7,2,-1,2,0
1821,Scheuermann et al. (2009),17,multiProbe,0,1,1,13,M,0,0,1,9,40,singleType,1,0,0,1,1,8,3,0,3,0
1822,Scheuermann et al. (2009),17,multiProbe,0,1,1,13,M,0,0,1,10,70,singleType,1,0,0,1,1,9,4,1,4,1
1823,Scheuermann et al. (2009),17,multiProbe,0,1,1,14,A,1,0,0,1,25,singleType,1,0,0,0,0,0,-6,-8,0,0
1824,Scheuermann et al. (2009),17,multiProbe,0,1,1,14,A,1,0,0,2,21,singleType,1,0,0,0,0,1,-5,-7,0,0
1825,Scheuermann et al. (2009),17,multiProbe,0,1,1,14,A,1,0,0,3,30,singleType,1,0,0,0,0,2,-4,-6,0,0
1826,Scheuermann et al. (2009),17,multiProbe,0,1,1,14,A,1,0,0,4,40,singleType,1,0,0,0,0,3,-3,-5,0,0
1827,Scheuermann et al. (2009),17,multiProbe,0,1,1,14,A,1,0,0,5,33,singleType,1,0,0,0,0,4,-2,-4,0,0
1828,Scheuermann et al. (2009),17,multiProbe,0,1,1,14,A,1,0,0,6,30,singleType,1,0,0,0,0,5,-1,-3,0,0
1829,Scheuermann et al. (2009),17,multiProbe,0,1,1,14,B,0,1,0,7,67,singleType,1,0,0,1,0,6,0,-2,0,0
1830,Scheuermann et al. (2009),17,multiProbe,0,1,1,14,B,0,1,0,8,99,singleType,1,0,0,1,0,7,1,-1,1,0
1831,Scheuermann et al. (2009),17,multiProbe,0,1,1,14,M,0,0,1,9,99,singleType,1,0,0,1,1,8,2,0,2,0
1832,Scheuermann et al. (2009),17,multiProbe,0,1,1,14,M,0,0,1,10,80,singleType,1,0,0,1,1,9,3,1,3,1
1833,Scheuermann et al. (2009),17,multiProbe,0,1,2,1,A,1,0,0,1,20,generalization,0,0,1,0,0,0,-3,-8,0,0
1834,Scheuermann et al. (2009),17,multiProbe,0,1,2,1,A,1,0,0,2,12,generalization,0,0,1,0,0,1,-2,-7,0,0
1835,Scheuermann et al. (2009),17,multiProbe,0,1,2,1,A,1,0,0,3,13,generalization,0,0,1,0,0,2,-1,-6,0,0
1836,Scheuermann et al. (2009),17,multiProbe,0,1,2,1,B,0,1,0,4,20,generalization,0,0,1,1,0,3,0,-5,0,0
1837,Scheuermann et al. (2009),17,multiProbe,0,1,2,1,B,0,1,0,5,55,generalization,0,0,1,1,0,4,1,-4,1,0
1838,Scheuermann et al. (2009),17,multiProbe,0,1,2,1,B,0,1,0,6,70,generalization,0,0,1,1,0,5,2,-3,2,0
1839,Scheuermann et al. (2009),17,multiProbe,0,1,2,1,B,0,1,0,7,80,generalization,0,0,1,1,0,6,3,-2,3,0
1840,Scheuermann et al. (2009),17,multiProbe,0,1,2,1,M,0,0,1,9,40,generalization,0,0,1,1,1,8,5,0,5,0
1841,Scheuermann et al. (2009),17,multiProbe,0,1,2,1,M,0,0,1,10,80,generalization,0,0,1,1,1,9,6,1,6,1
1842,Scheuermann et al. (2009),17,multiProbe,0,1,2,2,A,1,0,0,1,20,generalization,0,0,1,0,0,0,-4,-8,0,0
1843,Scheuermann et al. (2009),17,multiProbe,0,1,2,2,A,1,0,0,2,25,generalization,0,0,1,0,0,1,-3,-7,0,0
1844,Scheuermann et al. (2009),17,multiProbe,0,1,2,2,A,1,0,0,3,0,generalization,0,0,1,0,0,2,-2,-6,0,0
1845,Scheuermann et al. (2009),17,multiProbe,0,1,2,2,A,1,0,0,4,0,generalization,0,0,1,0,0,3,-1,-5,0,0
1846,Scheuermann et al. (2009),17,multiProbe,0,1,2,2,B,0,1,0,5,5,generalization,0,0,1,1,0,4,0,-4,0,0
1847,Scheuermann et al. (2009),17,multiProbe,0,1,2,2,B,0,1,0,6,47,generalization,0,0,1,1,0,5,1,-3,1,0
1848,Scheuermann et al. (2009),17,multiProbe,0,1,2,2,B,0,1,0,7,85,generalization,0,0,1,1,0,6,2,-2,2,0
1849,Scheuermann et al. (2009),17,multiProbe,0,1,2,2,M,0,0,1,9,60,generalization,0,0,1,1,1,8,4,0,4,0
1850,Scheuermann et al. (2009),17,multiProbe,0,1,2,2,M,0,0,1,10,80,generalization,0,0,1,1,1,9,5,1,5,1
1851,Scheuermann et al. (2009),17,multiProbe,0,1,2,3,A,1,0,0,1,12,generalization,0,0,1,0,0,0,-5,-8,0,0
1852,Scheuermann et al. (2009),17,multiProbe,0,1,2,3,A,1,0,0,2,20,generalization,0,0,1,0,0,1,-4,-7,0,0
1853,Scheuermann et al. (2009),17,multiProbe,0,1,2,3,A,1,0,0,3,40,generalization,0,0,1,0,0,2,-3,-6,0,0
1854,Scheuermann et al. (2009),17,multiProbe,0,1,2,3,A,1,0,0,4,25,generalization,0,0,1,0,0,3,-2,-5,0,0
1855,Scheuermann et al. (2009),17,multiProbe,0,1,2,3,A,1,0,0,5,19,generalization,0,0,1,0,0,4,-1,-4,0,0
1856,Scheuermann et al. (2009),17,multiProbe,0,1,2,3,B,0,1,0,6,54,generalization,0,0,1,1,0,5,0,-3,0,0
1857,Scheuermann et al. (2009),17,multiProbe,0,1,2,3,B,0,1,0,7,67,generalization,0,0,1,1,0,6,1,-2,1,0
1858,Scheuermann et al. (2009),17,multiProbe,0,1,2,3,B,0,1,0,8,73,generalization,0,0,1,1,0,7,2,-1,2,0
1859,Scheuermann et al. (2009),17,multiProbe,0,1,2,3,M,0,0,1,9,45,generalization,0,0,1,1,1,8,3,0,3,0
1860,Scheuermann et al. (2009),17,multiProbe,0,1,2,3,M,0,0,1,10,67,generalization,0,0,1,1,1,9,4,1,4,1
1861,Scheuermann et al. (2009),17,multiProbe,0,1,2,4,A,1,0,0,1,5,generalization,0,0,1,0,0,0,-6,-8,0,0
1862,Scheuermann et al. (2009),17,multiProbe,0,1,2,4,A,1,0,0,2,0,generalization,0,0,1,0,0,1,-5,-7,0,0
1863,Scheuermann et al. (2009),17,multiProbe,0,1,2,4,A,1,0,0,3,0,generalization,0,0,1,0,0,2,-4,-6,0,0
1864,Scheuermann et al. (2009),17,multiProbe,0,1,2,4,A,1,0,0,4,13,generalization,0,0,1,0,0,3,-3,-5,0,0
1865,Scheuermann et al. (2009),17,multiProbe,0,1,2,4,A,1,0,0,5,0,generalization,0,0,1,0,0,4,-2,-4,0,0
1866,Scheuermann et al. (2009),17,multiProbe,0,1,2,4,A,1,0,0,6,0,generalization,0,0,1,0,0,5,-1,-3,0,0
1867,Scheuermann et al. (2009),17,multiProbe,0,1,2,4,B,0,1,0,7,0,generalization,0,0,1,1,0,6,0,-2,0,0
1868,Scheuermann et al. (2009),17,multiProbe,0,1,2,4,B,0,1,0,8,94,generalization,0,0,1,1,0,7,1,-1,1,0
1869,Scheuermann et al. (2009),17,multiProbe,0,1,2,4,M,0,0,1,9,20,generalization,0,0,1,1,1,8,2,0,2,0
1870,Scheuermann et al. (2009),17,multiProbe,0,1,2,4,M,0,0,1,10,25,generalization,0,0,1,1,1,9,3,1,3,1
1871,Scheuermann et al. (2009),17,multiProbe,0,1,2,5,A,1,0,0,1,2,generalization,0,0,1,0,0,0,-3,-8,0,0
1872,Scheuermann et al. (2009),17,multiProbe,0,1,2,5,A,1,0,0,2,21,generalization,0,0,1,0,0,1,-2,-7,0,0
1873,Scheuermann et al. (2009),17,multiProbe,0,1,2,5,A,1,0,0,3,13,generalization,0,0,1,0,0,2,-1,-6,0,0
1874,Scheuermann et al. (2009),17,multiProbe,0,1,2,5,B,0,1,0,4,45,generalization,0,0,1,1,0,3,0,-5,0,0
1875,Scheuermann et al. (2009),17,multiProbe,0,1,2,5,B,0,1,0,5,55,generalization,0,0,1,1,0,4,1,-4,1,0
1876,Scheuermann et al. (2009),17,multiProbe,0,1,2,5,B,0,1,0,6,35,generalization,0,0,1,1,0,5,2,-3,2,0
1877,Scheuermann et al. (2009),17,multiProbe,0,1,2,5,B,0,1,0,7,80,generalization,0,0,1,1,0,6,3,-2,3,0
1878,Scheuermann et al. (2009),17,multiProbe,0,1,2,5,M,0,0,1,9,20,generalization,0,0,1,1,1,8,5,0,5,0
1879,Scheuermann et al. (2009),17,multiProbe,0,1,2,5,M,0,0,1,10,83,generalization,0,0,1,1,1,9,6,1,6,1
1880,Scheuermann et al. (2009),17,multiProbe,0,1,2,6,A,1,0,0,1,24,generalization,0,0,1,0,0,0,-4,-8,0,0
1881,Scheuermann et al. (2009),17,multiProbe,0,1,2,6,A,1,0,0,2,26,generalization,0,0,1,0,0,1,-3,-7,0,0
1882,Scheuermann et al. (2009),17,multiProbe,0,1,2,6,A,1,0,0,3,26,generalization,0,0,1,0,0,2,-2,-6,0,0
1883,Scheuermann et al. (2009),17,multiProbe,0,1,2,6,A,1,0,0,4,34,generalization,0,0,1,0,0,3,-1,-5,0,0
1884,Scheuermann et al. (2009),17,multiProbe,0,1,2,6,B,0,1,0,5,34,generalization,0,0,1,1,0,4,0,-4,0,0
1885,Scheuermann et al. (2009),17,multiProbe,0,1,2,6,B,0,1,0,6,80,generalization,0,0,1,1,0,5,1,-3,1,0
1886,Scheuermann et al. (2009),17,multiProbe,0,1,2,6,B,0,1,0,7,80,generalization,0,0,1,1,0,6,2,-2,2,0
1887,Scheuermann et al. (2009),17,multiProbe,0,1,2,6,M,0,0,1,9,60,generalization,0,0,1,1,1,8,4,0,4,0
1888,Scheuermann et al. (2009),17,multiProbe,0,1,2,6,M,0,0,1,10,80,generalization,0,0,1,1,1,9,5,1,5,1
1889,Scheuermann et al. (2009),17,multiProbe,0,1,2,7,A,1,0,0,1,20,generalization,0,0,1,0,0,0,-5,-8,0,0
1890,Scheuermann et al. (2009),17,multiProbe,0,1,2,7,A,1,0,0,2,10,generalization,0,0,1,0,0,1,-4,-7,0,0
1891,Scheuermann et al. (2009),17,multiProbe,0,1,2,7,A,1,0,0,3,0,generalization,0,0,1,0,0,2,-3,-6,0,0
1892,Scheuermann et al. (2009),17,multiProbe,0,1,2,7,A,1,0,0,4,12,generalization,0,0,1,0,0,3,-2,-5,0,0
1893,Scheuermann et al. (2009),17,multiProbe,0,1,2,7,A,1,0,0,5,5,generalization,0,0,1,0,0,4,-1,-4,0,0
1894,Scheuermann et al. (2009),17,multiProbe,0,1,2,7,B,0,1,0,6,20,generalization,0,0,1,1,0,5,0,-3,0,0
1895,Scheuermann et al. (2009),17,multiProbe,0,1,2,7,B,0,1,0,7,13,generalization,0,0,1,1,0,6,1,-2,1,0
1896,Scheuermann et al. (2009),17,multiProbe,0,1,2,7,B,0,1,0,8,65,generalization,0,0,1,1,0,7,2,-1,2,0
1897,Scheuermann et al. (2009),17,multiProbe,0,1,2,7,M,0,0,1,9,20,generalization,0,0,1,1,1,8,3,0,3,0
1898,Scheuermann et al. (2009),17,multiProbe,0,1,2,7,M,0,0,1,10,52,generalization,0,0,1,1,1,9,4,1,4,1
1899,Scheuermann et al. (2009),17,multiProbe,0,1,2,8,A,1,0,0,1,11,generalization,0,0,1,0,0,0,-6,-8,0,0
1900,Scheuermann et al. (2009),17,multiProbe,0,1,2,8,A,1,0,0,2,20,generalization,0,0,1,0,0,1,-5,-7,0,0
1901,Scheuermann et al. (2009),17,multiProbe,0,1,2,8,A,1,0,0,3,20,generalization,0,0,1,0,0,2,-4,-6,0,0
1902,Scheuermann et al. (2009),17,multiProbe,0,1,2,8,A,1,0,0,4,0,generalization,0,0,1,0,0,3,-3,-5,0,0
1903,Scheuermann et al. (2009),17,multiProbe,0,1,2,8,A,1,0,0,5,20,generalization,0,0,1,0,0,4,-2,-4,0,0
