,authorYear,study,designType,multiBase,multiProbe,cluster,case,phase,A,B,M,session,outcome,complexityMeasure,singleType,mixedType,generalization,level_AB,level_BM,time_A,time_B,time_M,trend_AB,trend_BM
1276,Maccini & Ruhl (2000),10,multiProbe,0,1,2,2,A,1,0,0,2,43,singleType,1,0,0,0,0,1,-6,0,0,0
1277,Maccini & Ruhl (2000),10,multiProbe,0,1,2,2,A,1,0,0,3,43,singleType,1,0,0,0,0,2,-5,0,0,0
1278,Maccini & Ruhl (2000),10,multiProbe,0,1,2,2,A,1,0,0,6,44,singleType,1,0,0,0,0,5,-2,0,0,0
1279,Maccini & Ruhl (2000),10,multiProbe,0,1,2,2,B,0,1,0,8,76,singleType,1,0,0,1,0,7,0,0,0,0
1280,Maccini & Ruhl (2000),10,multiProbe,0,1,2,2,B,0,1,0,9,76,singleType,1,0,0,1,0,8,1,0,1,0
1281,Maccini & Ruhl (2000),10,multiProbe,0,1,2,2,B,0,1,0,11,83,singleType,1,0,0,1,0,10,3,0,3,0
1282,Maccini & Ruhl (2000),10,multiProbe,0,1,2,2,B,0,1,0,12,49,singleType,1,0,0,1,0,11,4,0,4,0
1283,Maccini & Ruhl (2000),10,multiProbe,0,1,2,2,B,0,1,0,14,94,singleType,1,0,0,1,0,13,6,0,6,0
1284,Maccini & Ruhl (2000),10,multiProbe,0,1,2,2,B,0,1,0,15,85,singleType,1,0,0,1,0,14,7,0,7,0
1285,Maccini & Ruhl (2000),10,multiProbe,0,1,2,2,B,0,1,0,17,86,generalization,0,0,1,1,0,16,9,0,9,0
1286,Maccini & Ruhl (2000),10,multiProbe,0,1,2,2,B,0,1,0,19,38,generalization,0,0,1,1,0,18,11,0,11,0
1287,Maccini & Ruhl (2000),10,multiProbe,0,1,2,3,A,1,0,0,2,41,singleType,1,0,0,0,0,0,-7,0,0,0
1288,Maccini & Ruhl (2000),10,multiProbe,0,1,2,3,A,1,0,0,3,10,singleType,1,0,0,0,0,1,-6,0,0,0
1289,Maccini & Ruhl (2000),10,multiProbe,0,1,2,3,A,1,0,0,6,25,singleType,1,0,0,0,0,4,-3,0,0,0
1290,Maccini & Ruhl (2000),10,multiProbe,0,1,2,3,A,1,0,0,7,47,singleType,1,0,0,0,0,5,-2,0,0,0
1291,Maccini & Ruhl (2000),10,multiProbe,0,1,2,3,B,0,1,0,9,98,singleType,1,0,0,1,0,7,0,0,0,0
1292,Maccini & Ruhl (2000),10,multiProbe,0,1,2,3,B,0,1,0,10,88,singleType,1,0,0,1,0,8,1,0,1,0
1293,Maccini & Ruhl (2000),10,multiProbe,0,1,2,3,B,0,1,0,12,88,singleType,1,0,0,1,0,10,3,0,3,0
1294,Maccini & Ruhl (2000),10,multiProbe,0,1,2,3,B,0,1,0,13,80,singleType,1,0,0,1,0,11,4,0,4,0
1295,Maccini & Ruhl (2000),10,multiProbe,0,1,2,3,B,0,1,0,15,66,singleType,1,0,0,1,0,13,6,0,6,0
1296,Maccini & Ruhl (2000),10,multiProbe,0,1,2,3,B,0,1,0,16,96,singleType,1,0,0,1,0,14,7,0,7,0
1297,Maccini & Ruhl (2000),10,multiProbe,0,1,2,3,B,0,1,0,18,70,generalization,0,0,1,1,0,16,9,0,9,0
1298,Maccini & Ruhl (2000),10,multiProbe,0,1,2,3,B,0,1,0,20,8,generalization,0,0,1,1,0,18,11,0,11,0
1299,Marsh & Cooke (1996),11,multiBase,1,0,1,1,A,1,0,0,1,30,mixedType,0,1,0,0,0,0,-5,0,0,0
1300,Marsh & Cooke (1996),11,multiBase,1,0,1,1,A,1,0,0,2,40,mixedType,0,1,0,0,0,1,-4,0,0,0
1301,Marsh & Cooke (1996),11,multiBase,1,0,1,1,A,1,0,0,3,40,mixedType,0,1,0,0,0,2,-3,0,0,0
1302,Marsh & Cooke (1996),11,multiBase,1,0,1,1,A,1,0,0,4,40,mixedType,0,1,0,0,0,3,-2,0,0,0
1303,Marsh & Cooke (1996),11,multiBase,1,0,1,1,A,1,0,0,5,40,mixedType,0,1,0,0,0,4,-1,0,0,0
1304,Marsh & Cooke (1996),11,multiBase,1,0,1,1,B,0,1,0,6,70,mixedType,0,1,0,1,0,5,0,0,0,0
1305,Marsh & Cooke (1996),11,multiBase,1,0,1,1,B,0,1,0,7,70,mixedType,0,1,0,1,0,6,1,0,1,0
1306,Marsh & Cooke (1996),11,multiBase,1,0,1,1,B,0,1,0,8,80,mixedType,0,1,0,1,0,7,2,0,2,0
1307,Marsh & Cooke (1996),11,multiBase,1,0,1,1,B,0,1,0,9,90,mixedType,0,1,0,1,0,8,3,0,3,0
